Date,Time,Sale_Price,Units_Sold,Revenue
2026-01-01,13:23:15,716.85,6,4301.1
2026-01-02,09:14:20,756.78,20,15135.6
2026-01-03,19:35:58,853.96,33,28180.68
2026-01-04,12:08:04,787.09,24,18890.16
2026-01-05,10:44:25,830.39,27,22420.53
2026-01-06,13:40:50,747.34,48,35872.32
2026-01-07,19:19:54,768.8,30,23064.0
2026-01-08,15:06:02,705.26,29,20452.54
2026-01-09,13:27:03,589.1,37,21796.7
2026-01-10,20:24:50,739.24,34,25134.16
2026-01-11,09:28:05,848.7,22,18671.4
2026-01-12,09:12:49,776.19,32,24838.08
2026-01-13,09:40:33,791.78,36,28504.08
2026-01-14,10:28:31,840.71,14,11769.94
2026-01-15,19:30:19,882.73,18,15889.14
2026-01-16,19:53:08,763.63,18,13745.34
2026-01-17,13:52:48,609.88,12,7318.56
2026-01-18,14:29:29,617.15,9,5554.35
2026-01-19,16:58:13,804.15,1,804.15
2026-01-20,10:46:36,855.09,1,855.09
2026-01-21,16:38:00,911.69,1,911.69
2026-01-22,20:30:34,813.0,1,813.0
2026-01-23,16:07:38,564.94,2,1129.88
2026-01-24,14:15:42,869.96,1,869.96
2026-01-25,14:07:11,630.36,1,630.36
2026-01-26,09:45:47,629.5,2,1259.0
2026-01-27,09:03:09,770.53,1,770.53
2026-01-28,14:18:38,937.92,1,937.92
2026-01-29,18:56:13,597.03,7,4179.21
2026-01-30,09:31:39,542.29,16,8676.64
2026-01-31,09:21:07,815.31,26,21198.06
2026-02-01,17:45:51,1119.17,19,21264.23
2026-02-02,12:09:54,757.5,20,15150.0
2026-02-03,09:59:16,693.76,43,29831.68
2026-02-04,10:04:50,925.72,31,28697.32
2026-02-05,20:33:26,873.67,33,28831.11
2026-02-06,17:32:20,683.77,38,25983.26
2026-02-07,13:01:42,704.48,30,21134.4
2026-02-08,15:02:57,688.5,41,28228.5
2026-02-09,11:57:07,670.65,45,30179.25
2026-02-10,11:26:32,611.3,37,22618.1
2026-02-11,20:57:01,811.35,36,29208.6
2026-02-12,11:20:33,703.75,25,17593.75
2026-02-13,20:56:41,856.16,23,19691.68
2026-02-14,12:03:36,825.49,22,18160.78
2026-02-15,15:38:17,834.27,16,13348.32
2026-02-16,09:43:32,892.19,1,892.19
2026-02-17,15:31:23,789.93,2,1579.86
2026-02-18,13:45:59,682.43,14,9554.02
2026-02-19,20:23:14,812.0,1,812.0
2026-02-20,13:02:21,817.85,1,817.85
2026-02-21,18:58:40,619.74,1,619.74
2026-02-22,16:22:11,861.7,1,861.7
2026-02-23,09:26:25,460.69,6,2764.14
2026-02-24,10:05:43,624.11,1,624.11
2026-02-25,15:38:59,878.24,1,878.24
2026-02-26,14:24:17,871.27,1,871.27
2026-02-27,09:17:01,697.82,7,4884.74
2026-02-28,12:14:13,536.93,5,2684.65
2026-03-01,12:43:37,700.49,6,4202.94
2026-03-02,20:19:17,601.53,31,18647.43
2026-03-03,11:41:32,666.13,21,13988.73
2026-03-04,10:54:33,765.14,38,29075.32
2026-03-05,10:34:35,533.46,42,22405.32
2026-03-06,09:02:41,820.4,37,30354.8
2026-03-07,19:17:45,798.31,41,32730.71
2026-03-08,16:22:37,809.22,30,24276.6
2026-03-09,18:22:43,503.95,48,24189.6
2026-03-10,18:03:26,670.29,53,35525.37
2026-03-11,12:12:14,716.56,46,32961.76
2026-03-12,17:05:27,583.27,43,25080.61
2026-03-13,20:13:17,772.78,47,36320.66
2026-03-14,16:10:51,641.06,32,20513.92
2026-03-15,09:16:56,838.42,21,17606.82
2026-03-16,15:44:13,729.87,24,17516.88
2026-03-17,15:44:36,827.94,21,17386.74
2026-03-18,15:27:27,587.11,3,1761.33
2026-03-19,15:45:00,778.64,9,7007.76
2026-03-20,11:22:09,804.42,7,5630.94
2026-03-21,13:47:42,772.99,1,772.99
2026-03-22,11:34:28,980.2,1,980.2
2026-03-23,14:54:31,702.18,1,702.18
2026-03-24,12:23:05,792.36,7,5546.52
2026-03-25,14:54:03,424.22,1,424.22
2026-03-26,19:51:39,524.74,4,2098.96
2026-03-27,11:22:51,531.6,1,531.6
2026-03-28,20:06:16,634.68,1,634.68
2026-03-29,19:34:04,659.31,1,659.31
2026-03-30,20:19:34,737.04,11,8107.44
2026-03-31,09:42:48,689.41,15,10341.15
